Date	Open	High	Low	Close	Adj Close	Volume
05/06/08	140.199997	141.779999	127.019997	131.509995	121.825111	3579815
06/06/08	133.979996	136.25	127	127.919998	118.499489	2841970
09/06/08	124	125.199997	118.260002	122.519997	113.497177	2306670
10/06/08	119.839996	123.769997	116	117.849998	109.171082	2586135
11/06/08	119.599998	126.279999	119.040001	121.419998	112.478165	3841800
12/06/08	119.580002	120.879997	114	118.699997	109.958488	2530485
13/06/08	118.699997	122.980003	118.440002	120.059998	111.21833	2557780
16/06/08	122	127.959999	121.209999	124.18	115.034912	4810680
17/06/08	124.199997	126.949997	122.400002	126.120003	116.832047	1734210
18/06/08	126.120003	131.800003	125.040001	125.779999	116.517075	3471990
19/06/08	123.599998	130.800003	122.309998	129.830002	120.268822	3745810
20/06/08	130.770004	132.179993	124	124.849998	115.655586	3581665
23/06/08	124	124	112.410004	114.209999	105.799149	4199165
24/06/08	114.709999	118	112.790001	113.739998	105.36377	3366790
25/06/08	112	112.599998	108.220001	109.940002	101.843605	3264390
26/06/08	117.199997	117.199997	105	105.690002	97.906609	3293845
27/06/08	101	102.769997	97.669998	99.199997	91.894547	3403335
30/06/08	99.199997	102.019997	97.760002	98.830002	91.551788	1913815
01/07/08	100	101	95	95.629997	88.58744	1329330
02/07/08	87.800003	101.989998	77.620003	96.260002	89.171082	9877350
03/07/08	94.199997	94.400002	84.800003	88.669998	82.140015	5041115
04/07/08	89.800003	91.980003	86.620003	90.080002	83.446167	2656325
07/07/08	91.099998	98.800003	91.099998	93.470001	86.586517	2721810
08/07/08	91.400002	95.779999	85	91.889999	85.122864	2989255
09/07/08	95.800003	110.269997	94.199997	110.269997	102.149307	11755215
10/07/08	112	120.589996	112	113.550003	105.187767	17114200
11/07/08	114	116	107.629997	109.269997	101.222946	4688250
14/07/08	108	114.400002	105.669998	106.980003	99.101608	5552560
15/07/08	106	106.199997	97	97.599998	90.412361	4163170
16/07/08	95	101.199997	94.019997	95.639999	88.596687	3697585
17/07/08	99.800003	101	92.599998	95.75	88.698624	3005685
18/07/08	97	98.68	92.199997	93.480003	86.595779	4306840
21/07/08	94	97.760002	92	95.269997	88.253952	3410565
22/07/08	97	105.18	95	103.290001	95.683334	7527325
23/07/08	107.989998	113.760002	107.989998	110.709999	102.5569	4448180
24/07/08	112.660004	118.599998	111.010002	116.919998	108.309563	5672650
25/07/08	115	122.18	110.230003	117.559998	108.902443	7324370
28/07/08	116	121.389999	116	117.690002	109.022858	3732325
29/07/08	116	123.400002	108.019997	110.940002	102.769966	11216705
30/07/08	114	117	111.010002	112.779999	104.474442	5019235
31/07/08	114.199997	117	113	115.599998	107.086769	3578765
01/08/08	114	116.800003	111.110001	115.25	106.762573	3292850
04/08/08	115.199997	119.580002	114.230003	117.010002	108.392944	2636195
05/08/08	117.010002	120	116	117.400002	108.754227	2614045
06/08/08	120.099998	121.080002	114	115.330002	106.83667	2470665
07/08/08	115.330002	118	114.260002	114.75	106.299385	2551555
08/08/08	114	118.139999	113	116.309998	107.744492	2829625
11/08/08	118	120.400002	116.849998	118.199997	109.495308	2528650
12/08/08	118.400002	126.699997	118.209999	125.300003	116.072449	10981260
13/08/08	124	127.400002	121.400002	122.949997	113.8955	4119835
14/08/08	123	123.790001	113.050003	114.459999	106.030739	2620450
